participant_id,mode,q1_overall,q2_controls,q3_control,q4_trust,q5_would_use,comment
anonym_1,toggle,4,5,3,4,4,"Defaultní nastavení dává smysl, jen bych čekal víc granularity než on/off."
anonym_1,slider,4,4,5,4,5,"Tohle mi sedlo. Vidím okamžitý dopad, lepší než toggles."
anonym_1,text,4,4,4,3,4,"Funguje, ale občas mě překvapilo, na jaký koncept to namapuje."
anonym_2,toggle,5,5,3,4,4,"Nejjednodušší na pochopení. Vhodné pro první kontakt s rozhraním."
anonym_2,slider,5,4,5,4,5,"Slider mi dává nejlepší pocit kontroly. Default hodnoty rozumné."
anonym_2,text,4,5,3,3,3,"Rychlé na ovládání, ale nevěřím tomu, co si pod prompty představí."
anonym_3,toggle,4,4,2,3,3,"OK, ale binární volba mi přijde málo, chce to víc úrovní."
anonym_3,slider,4,3,4,3,4,"Lepší než toggle, ale prvních pár kroků není úplně intuitivních."
anonym_3,text,3,3,3,2,3,"Text je dobrá idea, chování ale občas mimo to, co bych čekal."
anonym_4,toggle,5,5,3,4,4,"Přehledné. Pro běžného uživatele asi nejlepší vstupní bod."
anonym_4,slider,5,4,5,4,5,"Skvělá granularita. Defaultní hodnoty fungují bez ladění."
anonym_4,text,4,4,4,3,4,"Volnost je super, ale chce to lepší zpětnou vazbu, kam to mapuje."
anonym_5,toggle,4,5,3,4,4,"Jasné a čitelné. Dobře se to ovládá i bez návodu."
anonym_5,slider,5,4,5,4,5,"Cítím se mít kontrolu nad výsledným rankingem. Velmi dobré."
anonym_5,text,4,4,4,3,4,"Pěkné pro rapid prototyping, ale lexikon by chtěl dotunit."
